Timestamp,Type,Weight,Execution_Price,Hourly_PnL,Account_Balance
2025-11-27 10:15:00+05:30,SHORT,99.75%,163.25,304.58,100304.58
2025-11-27 11:15:00+05:30,SHORT,99.52%,162.99,158.98,100463.57
2025-11-27 12:15:00+05:30,SHORT,100.30%,162.9,55.65,100519.22
2025-11-27 13:15:00+05:30,SHORT,106.11%,162.7,130.95,100650.17
2025-11-27 14:15:00+05:30,SHORT,107.15%,162.91,-139.21,100510.96
2025-11-27 15:15:00+05:30,SHORT,112.37%,162.0,630.9,101141.86
2025-11-28 09:15:00+05:30,SHORT,104.96%,160.75,819.09,101960.95
2025-11-28 10:15:00+05:30,SHORT,111.37%,160.8,-35.32,101925.63
2025-11-28 11:15:00+05:30,SHORT,111.36%,160.75,35.3,101960.92
2025-11-28 12:15:00+05:30,SHORT,111.60%,160.9,-106.17,101854.75
2025-11-28 13:15:00+05:30,SHORT,111.59%,160.8,70.63,101925.38
2025-11-28 14:15:00+05:30,SHORT,115.25%,160.87,-51.13,101874.25
2025-11-28 15:15:00+05:30,SHORT,120.00%,161.2,-250.78,101623.47
2025-12-01 09:15:00+05:30,SHORT,120.00%,160.67,400.95,102024.42
2025-12-01 10:15:00+05:30,SHORT,120.00%,160.75,-60.96,101963.46
2025-12-01 11:15:00+05:30,SHORT,117.60%,159.62,842.9,102806.36
2025-12-01 12:15:00+05:30,SHORT,117.72%,159.72,-75.82,102730.54
2025-12-01 13:15:00+05:30,SHORT,117.97%,159.7,15.18,102745.72
2025-12-01 14:15:00+05:30,SHORT,117.54%,159.88,-136.12,102609.59
2025-12-01 15:15:00+05:30,SHORT,120.00%,159.09,608.42,103218.02
2025-12-02 09:15:00+05:30,SHORT,120.00%,157.7,1082.2,104300.22
2025-12-02 10:15:00+05:30,SHORT,120.00%,158.15,-357.14,103943.07
2025-12-02 11:15:00+05:30,SHORT,120.00%,158.1,39.42,103982.5
2025-12-02 12:15:00+05:30,SHORT,120.00%,157.77,260.45,104242.95
2025-12-02 13:15:00+05:30,SHORT,120.00%,157.51,206.15,104449.11
2025-12-02 14:15:00+05:30,SHORT,120.00%,157.86,-278.52,104170.59
2025-12-02 15:15:00+05:30,SHORT,120.00%,157.87,-7.91,104162.67
2025-12-03 09:15:00+05:30,SHORT,120.00%,155.84,1607.27,105769.95
2025-12-03 10:15:00+05:30,SHORT,120.00%,155.59,203.61,105973.56
2025-12-03 12:15:00+05:30,SHORT,120.00%,154.91,286.67,106260.22
2025-12-03 13:15:00+05:30,SHORT,120.00%,154.73,148.17,106408.4
2025-12-03 14:15:00+05:30,SHORT,120.00%,155.49,-627.19,105781.2
2025-12-03 15:15:00+05:30,SHORT,120.00%,154.81,555.14,106336.34
2025-12-04 09:15:00+05:30,SHORT,120.00%,154.93,-98.91,106237.43
2025-12-04 10:15:00+05:30,SHORT,120.00%,154.75,148.11,106385.54
2025-12-04 11:15:00+05:30,SHORT,120.00%,154.95,-164.99,106220.55
2025-12-04 12:15:00+05:30,SHORT,120.00%,154.59,296.14,106516.69
2025-12-04 13:15:00+05:30,SHORT,120.00%,154.36,190.17,106706.86
2025-12-04 14:15:00+05:30,SHORT,120.00%,154.4,-33.18,106673.69
2025-12-04 15:15:00+05:30,SHORT,120.00%,154.22,149.23,106822.91
2025-12-05 09:15:00+05:30,SHORT,113.80%,152.06,1702.56,108525.47
2025-12-05 10:15:00+05:30,SHORT,110.59%,152.52,-363.09,108162.38
2025-12-05 11:15:00+05:30,SHORT,108.23%,151.6,706.12,108868.5
2025-12-05 12:15:00+05:30,SHORT,107.71%,151.61,-7.73,108860.77
2025-12-05 13:15:00+05:30,SHORT,109.85%,151.51,78.88,108939.65
2025-12-05 14:15:00+05:30,SHORT,109.73%,151.55,-31.57,108908.09
2025-12-05 15:15:00+05:30,SHORT,120.00%,151.7,-129.35,108778.74
2025-12-08 09:15:00+05:30,SHORT,100.81%,149.35,1698.8,110477.54
2025-12-08 10:15:00+05:30,LONG,99.47%,148.5,-625.42,109852.12
2025-12-08 11:15:00+05:30,LONG,99.26%,148.39,-80.77,109771.36
2025-12-08 12:15:00+05:30,LONG,98.74%,147.69,-511.28,109260.08
2025-12-08 13:15:00+05:30,LONG,103.14%,146.72,-740.11,108519.97
2025-12-08 14:15:00+05:30,LONG,100.90%,147.02,223.88,108743.85
2025-12-08 15:15:00+05:30,LONG,102.16%,146.7,-241.8,108502.05
2025-12-09 09:15:00+05:30,LONG,102.44%,146.27,-325.79,108176.26
2025-12-09 10:15:00+05:30,LONG,82.78%,148.24,1206.04,109382.3
2025-12-09 11:15:00+05:30,SHORT,75.05%,149.78,-852.76,108529.54
2025-12-09 12:15:00+05:30,SHORT,72.12%,150.83,-548.71,107980.83
2025-12-09 13:15:00+05:30,SHORT,71.57%,151.27,-225.45,107755.38
2025-12-09 14:15:00+05:30,SHORT,71.40%,151.45,-91.54,107663.84
2025-12-09 15:15:00+05:30,SHORT,78.02%,152.27,-454.79,107209.04
2025-12-10 09:15:00+05:30,SHORT,74.22%,153.75,-773.4,106435.65
2025-12-10 10:15:00+05:30,SHORT,75.05%,153.08,348.09,106783.74
2025-12-10 11:15:00+05:30,SHORT,71.43%,151.69,692.64,107476.38
2025-12-10 12:15:00+05:30,SHORT,70.62%,150.97,360.25,107836.63
2025-12-10 13:15:00+05:30,LONG,69.85%,150.23,-369.21,107467.41
2025-12-10 14:15:00+05:30,LONG,69.61%,149.7,-263.92,107203.49
2025-12-10 15:15:00+05:30,LONG,79.68%,149.66,-22.82,107180.67
2025-12-11 09:15:00+05:30,LONG,48.13%,155.34,1957.92,109138.59
2025-12-11 10:15:00+05:30,LONG,48.24%,155.85,172.85,109311.45
2025-12-11 11:15:00+05:30,LONG,48.89%,156.13,96.01,109407.46
2025-12-11 13:15:00+05:30,SHORT,49.65%,156.01,-90.68,109316.78
2025-12-11 14:15:00+05:30,SHORT,49.07%,157.9,-649.91,108666.86
2025-12-11 15:15:00+05:30,SHORT,49.37%,157.76,47.56,108714.43
2025-12-12 09:15:00+05:30,SHORT,48.11%,155.99,586.77,109301.2
2025-12-12 10:15:00+05:30,LONG,48.68%,155.7,-98.93,109202.28
2025-12-12 11:15:00+05:30,LONG,49.00%,155.87,58.43,109260.7
2025-12-12 12:15:00+05:30,SHORT,49.02%,156.11,-82.47,109178.23
2025-12-12 13:15:00+05:30,SHORT,48.94%,156.78,-229.34,108948.89
2025-12-12 14:15:00+05:30,SHORT,49.05%,157.41,-214.72,108734.17
2025-12-12 15:15:00+05:30,SHORT,49.49%,156.7,242.74,108976.91
2025-12-15 09:15:00+05:30,SHORT,49.53%,156.06,220.45,109197.37
2025-12-15 10:15:00+05:30,SHORT,50.67%,155.57,173.74,109371.1
2025-12-15 12:15:00+05:30,LONG,51.65%,157.01,311.15,109682.25
2025-12-15 13:15:00+05:30,SHORT,51.82%,156.63,137.57,109819.82
2025-12-15 14:15:00+05:30,SHORT,51.85%,157.37,-269.04,109550.78
2025-12-15 15:15:00+05:30,SHORT,101.63%,156.92,318.38,109869.16
2025-12-16 09:15:00+05:30,SHORT,88.32%,154.96,1212.0,111081.16
2025-12-16 10:15:00+05:30,SHORT,88.38%,154.6,228.09,111309.25
2025-12-16 11:15:00+05:30,SHORT,88.43%,154.25,222.84,111532.09
2025-12-16 12:15:00+05:30,LONG,88.72%,154.31,38.49,111570.58
2025-12-16 14:15:00+05:30,SHORT,104.41%,153.86,234.23,111804.81
2025-12-17 09:15:00+05:30,SHORT,116.05%,152.74,228.94,112033.75
2025-12-17 11:15:00+05:30,LONG,117.58%,152.28,-60.53,111973.21
2025-12-17 12:15:00+05:30,LONG,120.00%,152.13,-132.35,111840.86
2025-12-17 15:15:00+05:30,LONG,120.00%,151.2,-336.46,111504.41
2025-12-18 09:15:00+05:30,LONG,111.45%,149.29,-1569.79,109934.62
2025-12-18 10:15:00+05:30,LONG,114.75%,149.5,177.46,110112.07
2025-12-18 11:15:00+05:30,LONG,104.61%,150.9,1078.69,111190.76
2025-12-18 12:15:00+05:30,LONG,104.46%,150.42,-369.47,110821.29
2025-12-18 13:15:00+05:30,LONG,109.10%,149.54,-707.32,110113.98
2025-12-18 14:15:00+05:30,LONG,105.60%,149.96,326.59,110440.57
2025-12-18 15:15:00+05:30,LONG,120.00%,150.01,44.18,110484.74
2025-12-19 09:15:00+05:30,LONG,117.84%,150.51,433.96,110918.7
2025-12-19 10:15:00+05:30,LONG,117.92%,150.42,-78.21,110840.49
2025-12-19 11:15:00+05:30,LONG,118.40%,150.26,-139.6,110700.9
2025-12-19 12:15:00+05:30,LONG,117.32%,150.45,164.22,110865.12
2025-12-19 13:15:00+05:30,LONG,100.12%,152.03,1165.69,112030.81
2025-12-19 14:15:00+05:30,LONG,99.48%,152.86,608.44,112639.25
2025-12-19 15:15:00+05:30,LONG,99.22%,153.24,277.84,112917.09
2025-12-22 09:15:00+05:30,SHORT,73.52%,156.45,-1738.89,111178.2
2025-12-22 10:15:00+05:30,SHORT,72.67%,155.89,289.2,111467.39
2025-12-22 11:15:00+05:30,SHORT,72.56%,155.65,124.53,111591.92
2025-12-22 12:15:00+05:30,SHORT,72.80%,155.73,-41.76,111550.16
2025-12-22 13:15:00+05:30,SHORT,72.32%,156.76,-533.55,111016.61
2025-12-22 14:15:00+05:30,LONG,72.83%,156.67,-46.42,110970.19
2025-12-22 15:15:00+05:30,LONG,83.65%,156.81,82.95,111053.14
2025-12-23 09:15:00+05:30,LONG,48.56%,163.09,2159.53,113212.67
2025-12-23 10:15:00+05:30,SHORT,48.78%,163.32,-77.89,113134.78
2025-12-23 11:15:00+05:30,SHORT,27.29%,175.2,-2245.53,110889.25
2025-12-23 12:15:00+05:30,SHORT,26.48%,172.32,482.64,111371.89
2025-12-23 13:15:00+05:30,SHORT,25.78%,170.1,369.83,111741.72
2025-12-23 14:15:00+05:30,SHORT,25.55%,169.0,184.61,111926.33
2025-12-23 15:15:00+05:30,SHORT,25.50%,169.0,-0.0,111926.33
2025-12-24 09:15:00+05:30,SHORT,25.55%,169.43,-72.77,111853.56
2025-12-24 10:15:00+05:30,SHORT,25.62%,171.25,-307.82,111545.74
2025-12-24 11:15:00+05:30,SHORT,25.47%,170.56,114.48,111660.22
2025-12-24 12:15:00+05:30,SHORT,25.43%,170.5,9.99,111670.2
2025-12-24 13:15:00+05:30,SHORT,25.40%,170.74,-39.92,111630.28
2025-12-24 14:15:00+05:30,SHORT,25.37%,170.85,-18.25,111612.04
2025-12-24 15:15:00+05:30,SHORT,25.73%,170.55,50.43,111662.47
2025-12-26 09:15:00+05:30,SHORT,23.61%,177.98,-1148.3,110514.17
2025-12-26 10:15:00+05:30,SHORT,23.05%,183.31,-762.97,109751.2
2025-12-26 11:15:00+05:30,SHORT,22.86%,182.14,160.11,109911.31
2025-12-26 12:15:00+05:30,SHORT,22.81%,182.4,-35.78,109875.53
2025-12-26 13:15:00+05:30,SHORT,22.64%,181.2,163.65,110039.18
2025-12-26 14:15:00+05:30,SHORT,22.29%,179.2,270.71,110309.89
2025-12-26 15:15:00+05:30,SHORT,23.62%,178.25,138.15,110448.04
2025-12-29 09:15:00+05:30,SHORT,23.26%,176.06,315.65,110763.69
2025-12-29 10:15:00+05:30,SHORT,35.13%,174.88,260.81,111024.5
2025-12-29 11:15:00+05:30,SHORT,36.51%,175.1,-50.99,110973.51
2025-12-29 12:15:00+05:30,SHORT,36.78%,173.2,442.86,111416.37
2025-12-29 13:15:00+05:30,SHORT,37.09%,173.46,-62.03,111354.34
2025-12-29 14:15:00+05:30,SHORT,36.93%,172.72,175.45,111529.79
2025-12-29 15:15:00+05:30,SHORT,36.94%,172.77,-11.93,111517.86
2025-12-30 09:15:00+05:30,SHORT,37.22%,171.67,264.3,111782.16
2025-12-30 10:15:00+05:30,SHORT,36.67%,173.7,-484.71,111297.45
2025-12-30 11:15:00+05:30,SHORT,36.61%,173.25,105.57,111403.02
2025-12-30 12:15:00+05:30,SHORT,36.61%,173.15,23.54,111426.56
2025-12-30 13:15:00+05:30,SHORT,36.55%,172.7,105.84,111532.4
2025-12-30 14:15:00+05:30,SHORT,36.36%,171.67,241.87,111774.27
2025-12-30 15:15:00+05:30,SHORT,53.83%,171.8,-45.56,111728.71
